state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
Missouri,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Newton County (Missouri),Newton (County),5109,9716,5
Kansas,Velika katastrofa,2008-07-09,Severe Storm,"Severe Storms, Flooding And Tornadoes",0,0,1,1,2008-05-22,2008-06-16,Kiowa County (Kansas),Kiowa (County),8103,1687,16
Missouri,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Oregon County,Oregon (County),5109,8158,20
Kansas,Velika katastrofa,2017-06-16,Snowstorm,"Severe Winter Storm, Snowstorm, Straight-Line Winds, And Flooding",0,0,1,1,2017-04-28,2017-05-03,Morton County (Kansas),Morton (County),17048,9551,6
Texas,Upravljanje hitnim situacijama,1999-09-01,Fire,Extreme Fire Hazards,0,0,1,0,1999-08-01,1999-12-10,Kinney County,Kinney (County),99077,6021,13
Oklahoma,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Pushmataha County,Pushmataha (County),5091,9876,2
Tennessee,Velika katastrofa,2021-05-08,Tornado,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2021-03-25,2021-04-03,Decatur County (Tennessee),Decatur (County),21036,8477,12
Texas,Velika katastrofa,2005-09-24,Hurricane,Hurricane Rita,0,0,1,1,2005-09-23,2005-10-14,Ward County (Texas),Ward (County),5140,3999,18
South Carolina,Upravljanje hitnim situacijama,2018-09-10,Hurricane,Hurricane Florence,0,0,1,0,2018-09-08,2018-10-08,Bamberg County,Bamberg (County),18097,58,19
South Carolina,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Marlboro County,Marlboro (County),5100,3742,13
Arkansas,Velika katastrofa,2009-02-06,Severe Storm,Severe Winter Storm,0,0,1,1,2009-01-26,2009-01-30,Lawrence County (Arkansas),Lawrence (County),9014,9523,14
Georgia,Upravljanje hitnim situacijama,2014-02-11,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2014-02-10,2014-02-14,Screven County,Screven (County),14010,5268,2
Kentucky,Velika katastrofa,1989-02-24,Flood,Severe Storms & Flooding,0,1,1,0,1989-01-13,1989-03-08,Graves County,Graves (County),89003,6694,19
Texas,Velika katastrofa,2007-06-29,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2007-06-16,2007-08-03,Menard County (Texas),Menard (County),7851,8833,10
Indiana,Velika katastrofa,1996-07-03,Severe Storm,Severe Storms And Flooding,0,1,1,0,1996-04-28,1996-05-25,Franklin County (Indiana),Franklin (County),96126,3159,19
New Hampshire,Upravljanje hitnim situacijama,1993-03-16,Snowstorm,"Blizzards, High Winds & Record Snowfall",0,0,1,0,1993-03-13,1993-03-17,Grafton County,Grafton (County),93014,3839,8
Texas,Upravljanje požarom,2011-04-30,Fire,Sisk Road Fire,0,0,1,0,2011-04-29,2011-05-01,Wichita County (Texas),Wichita (County),11088,7176,21
South Carolina,Velika katastrofa,2015-10-05,Flood,Severe Storms And Flooding,0,0,1,1,2015-10-01,2015-10-23,Anderson County (South Carolina),Anderson (County),15079,5761,10
Montana,Upravljanje požarom,2017-08-17,Fire,Lolo Peak Fire,0,0,1,1,2017-08-17,2017-09-16,Ravalli County,Ravalli (County),17080,129,10
Kansas,Velika katastrofa,1965-06-23,Flood,Flooding,0,1,1,0,1965-06-23,1965-06-23,Chase County (Kansas),Chase (County),65027,5599,19
West Virginia,Velika katastrofa,2017-08-18,Severe Storm,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2017-07-28,2017-07-29,Tucker County,Tucker (County),17078,439,4
Oklahoma,Velika katastrofa,1990-05-18,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1990-04-14,1990-06-01,Jefferson County (Oklahoma),Jefferson (County),90018,8983,11
Nebraska,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuees,0,0,1,0,2005-08-29,2005-10-01,Richardson County,Richardson (County),5120,7430,20
Iowa,Velika katastrofa,2010-02-25,Severe Storm,Severe Winter Storms And Snowstorm,0,0,1,1,2009-12-23,2009-12-27,Emmet County (Iowa),Emmet (County),10013,4097,11
North Carolina,Velika katastrofa,2018-09-14,Hurricane,Hurricane Florence,1,0,1,1,2018-09-07,2018-09-29,Robeson County,Robeson (County),18102,9913,3
Louisiana,Velika katastrofa,2021-01-12,Hurricane,Hurricane Zeta,0,0,1,1,2020-10-26,2020-10-29,St. Helena Parish,St. Helena (Parish),21002,4025,16
Maine,Velika katastrofa,1978-02-17,Flood,"High Winds, Tidal Surge & Coastal Flooding",0,1,1,0,1978-02-17,1978-02-17,Washington County (Maine),Washington (County),78050,1880,6
Virginia,Velika katastrofa,1977-11-12,Flood,Severe Storms & Flooding,0,1,1,0,1977-11-12,1977-11-12,Radford city,Radford,78009,2260,17
Kansas,Velika katastrofa,1973-05-02,Flood,Severe Storms & Flooding,0,0,1,0,1973-05-02,1973-05-02,Sedgwick County (Kansas),Sedgwick (County),73039,3460,5
New York,Velika katastrofa,1992-12-21,Flood,"Coastal Storm, High Tides, Heavy Rain, & Flooding",0,1,1,0,1992-12-10,1992-12-14,Suffolk County (New York),Suffolk (County),92056,7571,15
Tennessee,Velika katastrofa,2002-04-05,Severe Storm,Severe Storms And Flooding,0,0,1,0,2002-01-23,2002-03-20,Van Buren County (Tennessee),Van Buren (County),2026,4140,17
Tennessee,Velika katastrofa,2015-04-02,Severe Ice Storm,Severe Winter Storm And Flooding,0,0,1,1,2015-02-15,2015-02-22,DeKalb County (Tennessee),DeKalb (County),15007,4106,23
Texas,Upravljanje hitnim situacijama,2020-08-24,Hurricane,Tropical Storms Marco And Laura,0,0,1,0,2020-08-23,2020-08-27,Shelby County (Texas),Shelby (County),20245,1657,16
South Carolina,Velika katastrofa,2018-09-16,Hurricane,Hurricane Florence,0,0,1,1,2018-09-08,2018-10-08,Colleton County,Colleton (County),18103,8291,7
Florida,Velika katastrofa,2022-09-29,Hurricane,Hurricane Ian,0,0,1,1,2022-09-23,2022-11-04,Baker County (Florida),Baker (County),22088,4905,13
Virginia,Velika katastrofa,2012-11-26,Hurricane,Hurricane Sandy,0,0,1,1,2012-10-26,2012-11-08,Rappahannock County,Rappahannock (County),12123,6370,7
Washington,Velika katastrofa,2007-02-14,Severe Storm,"Severe Winter Storm, Landslides, And Mudslides",0,0,1,1,2006-12-14,2006-12-15,Grays Harbor County,Grays Harbor (County),7789,9573,11
Nebraska,Velika katastrofa,1993-07-19,Flood,Severe Storms And Flooding,0,1,1,0,1993-06-23,1993-08-05,Furnas County,Furnas (County),93033,9531,17
New Jersey,Velika katastrofa,1971-09-04,Flood,Heavy Rains & Flooding,0,1,1,0,1971-09-04,1971-09-04,Sussex County (New Jersey),Sussex (County),71050,99,20
Massachusetts,Velika katastrofa,2011-09-03,Hurricane,Tropical Storm Irene,0,0,1,1,2011-08-27,2011-08-29,Plymouth County (Massachusetts),"Plymouth (County)(in (P)MSA 1120,1200,5400)",11214,9907,10
Texas,Upravljanje hitnim situacijama,1996-02-23,Fire,Extreme  Fire Hazard,0,0,1,0,1996-02-23,1996-09-19,Newton County (Texas),Newton (County),96039,2642,10
South Dakota,Velika katastrofa,2019-11-18,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2019-09-09,2019-09-26,Douglas County (South Dakota),Douglas (County),19096,3974,6
Minnesota,Velika katastrofa,1989-05-08,Flood,Flooding,0,1,1,0,1989-03-29,1989-05-08,Norman County,Norman (County),89007,3304,13
Oklahoma,Velika katastrofa,2013-05-20,Tornado,"Severe Storms, Tornadoes, And Flooding",1,0,1,1,2013-05-18,2013-06-02,Lincoln County (Oklahoma),Lincoln (County),13026,3711,18
West Virginia,Upravljanje hitnim situacijama,1993-03-17,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Webster County (West Virginia),Webster (County),93022,1805,13
Louisiana,Upravljanje hitnim situacijama,2020-10-07,Hurricane,Hurricane Delta,0,0,1,0,2020-10-06,2020-10-10,Washington Parish,Washington (Parish),20307,2714,12
West Virginia,Velika katastrofa,2012-07-23,Severe Storm,Severe Storms And Straight-Line Winds,0,0,1,1,2012-06-29,2012-07-08,Logan County (West Virginia),Logan (County),12054,3095,6
Texas,Upravljanje hitnim situacijama,1993-09-10,Drought,Extreme Fire Hazard,0,0,1,0,1993-08-30,1993-11-15,Lubbock County,Lubbock (County),93043,3396,18
Mississippi,Velika katastrofa,2021-10-22,Hurricane,Hurricane Ida,0,0,1,1,2021-08-28,2021-09-01,George County,George (County),21110,6786,22
Indiana,Velika katastrofa,1991-01-05,Flood,Severe Storms & Flooding,0,1,1,0,1990-12-28,1991-01-22,Benton County (Indiana),Benton (County),91004,4478,16
South Dakota,Velika katastrofa,2010-03-10,Severe Storm,Severe Winter Storm,0,0,1,1,2010-01-20,2010-01-26,Jerauld County,Jerauld (County),10021,6599,1
Texas,Upravljanje hitnim situacijama,2021-02-14,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-21,Williamson County (Texas),Williamson (County),21009,8297,1
Maine,Velika katastrofa,1992-03-27,Flood,"Heavy Rains, Ice Jams & Flooding",0,0,1,0,1992-03-10,1992-04-06,Knox County (Maine),Knox (County),92010,2703,2
New York,Velika katastrofa,1976-07-21,Flood,Severe Storms & Flooding,0,1,1,0,1976-07-21,1976-07-21,Herkimer County,Herkimer (County),76062,1795,7
Illinois,Upravljanje hitnim situacijama,1999-01-08,Snowstorm,Il-Winter Storm  1/1/99,0,0,1,0,1999-01-01,1999-01-15,Macon County (Illinois),Macon (County),99001,1650,21
Georgia,Velika katastrofa,2004-09-24,Hurricane,Tropical Storm Frances,0,0,1,1,2004-09-03,2004-10-30,Turner County (Georgia),Turner (County),4118,945,15
Kentucky,Velika katastrofa,1981-03-17,Toxic Substances,"Sewer Explosion, Toxic Waste",0,0,1,0,1981-03-17,1981-03-17,Jefferson County (Kentucky),Jefferson (County),81017,7739,3
New York,Velika katastrofa,2017-07-12,Snowstorm,Severe Winter Storm And Snowstorm,0,0,1,1,2017-03-14,2017-03-15,Otsego County (New York),Otsego (County),17061,6356,14
Oregon,Velika katastrofa,2012-03-02,Flood,"Severe Winter Storm, Flooding, Landslides, And Mudslides",0,0,1,1,2012-01-17,2012-01-21,Curry County (Oregon),Curry (County),12005,3854,7
Mississippi,Velika katastrofa,2010-05-14,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2010-05-01,2010-05-02,Prentiss County,Prentiss (County),10055,2167,9
Oklahoma,Velika katastrofa,2015-05-26,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",1,0,1,1,2015-05-05,2015-06-22,Choctaw County (Oklahoma),Choctaw (County),15019,9538,6
Virginia,Upravljanje hitnim situacijama,2012-10-29,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-26,2012-11-01,Bedford city,Bedford,12112,2360,14
Texas,Velika katastrofa,1991-12-26,Flood,Severe Thunderstorms,0,1,0,0,1991-12-20,1992-01-14,Calhoun County (Texas),Calhoun (County),91063,4480,13
Kentucky,Velika katastrofa,2021-04-23,Flood,"Severe, Storms, Flooding, Landslides, And Mudslides",1,0,0,1,2021-02-27,2021-03-14,Jessamine County,Jessamine (County),21025,3856,3
North Carolina,Upravljanje hitnim situacijama,1993-03-17,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Rutherford County (North Carolina),Rutherford (County),93023,9385,13
Georgia,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-27,2005-10-01,Bibb County (Georgia),Bibb (County),5088,1236,13
North Dakota,Upravljanje hitnim situacijama,2005-09-13,Coastal Storm,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Emmons County,Emmons (County),5126,8588,6
Florida,Velika katastrofa,2004-09-26,Hurricane,Hurricane Jeanne,1,1,1,1,2004-09-24,2004-11-17,Alachua County,Alachua (County),4122,2026,14
South Dakota,Velika katastrofa,2019-11-18,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2019-09-09,2019-09-26,Turner County (South Dakota),Turner (County),19096,2856,23
Mississippi,Velika katastrofa,2020-04-16,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2020-04-12,2020-04-12,Lafayette County (Mississippi),Lafayette (County),20165,8545,17
Virginia,Velika katastrofa,2010-02-16,Snowstorm,Severe Winter Storm And Snowstorm,0,0,1,1,2009-12-18,2009-12-20,Waynesboro city,Waynesboro,10010,103,1
Texas,Velika katastrofa,2021-02-19,Severe Ice Storm,Severe Winter Storms,1,0,1,1,2021-02-11,2021-02-21,Erath County,Erath (County),21013,8831,10
Colorado,Velika katastrofa,2015-07-16,Flood,"Severe Storms, Tornadoes, Flooding, Landslides, And Mudslides",0,0,1,1,2015-05-04,2015-06-16,Boulder County,Boulder (County),15036,8073,9
North Dakota,Velika katastrofa,1966-03-23,Flood,Flooding,0,1,1,0,1966-03-23,1966-03-23,Sargent County,Sargent (County),66014,5818,22
Idaho,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Gem County,Gem (County),5125,7164,13
Texas,Velika katastrofa,1989-05-19,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1989-05-04,1989-06-07,Sherman County (Texas),Sherman (County),89012,9870,18
Nebraska,Velika katastrofa,2007-01-07,Severe Storm,Severe Winter Storms,0,0,1,1,2006-12-19,2007-01-01,Nuckolls County,Nuckolls (County),7781,2178,14
Massachusetts,Velika katastrofa,2001-04-10,Severe Storm,Severe Storms And Flooding,0,1,0,0,2001-03-05,2001-04-16,Norfolk County,"Norfolk (County)(in PMSA 1120,1200,6060)",1032,9411,19
Missouri,Upravljanje hitnim situacijama,2011-02-03,Severe Storm,Severe Winter Storm,0,0,1,0,2011-01-31,2011-02-05,Pettis County,Pettis (County),11007,6309,17
Kentucky,Velika katastrofa,2015-08-12,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, Flooding, Landslides, And Mudslide",0,0,1,1,2015-07-11,2015-07-20,Estill County,Estill (County),15042,4886,9
Kansas,Velika katastrofa,1967-07-18,Tornado,"Tornadoes, Severe Storms & Flooding",0,1,1,0,1967-07-18,1967-07-18,Kingman County,Kingman (County),67023,6431,22
Tennessee,Velika katastrofa,2015-04-02,Severe Ice Storm,Severe Winter Storm And Flooding,0,0,1,1,2015-02-15,2015-02-22,Anderson County (Tennessee),Anderson (County),15007,224,11
Oklahoma,Velika katastrofa,2001-01-05,Severe Ice Storm,Severe Winter Ice Storm,0,1,1,0,2000-12-25,2001-01-10,McCurtain County,McCurtain (County),1001,9758,1
California,Velika katastrofa,1988-09-29,Fire,Wildfires,0,1,0,0,1988-09-11,1988-09-24,Shasta County,Shasta (County),88025,7021,22
Maine,Velika katastrofa,1970-02-27,Flood,"Severe Storms, Ice Jams & Flooding",0,1,1,0,1970-02-27,1970-02-27,Somerset County (Maine),Somerset (County),70011,4059,17
Puerto Rico,Velika katastrofa,1979-09-02,Hurricane,Hurricane David,0,0,1,0,1979-09-02,1979-09-02,Aguas Buenas Municipio,Aguas Buenas (Municipio),79071,5929,8
North Carolina,Upravljanje hitnim situacijama,2016-10-07,Hurricane,Hurricane Matthew,0,0,1,0,2016-10-04,2016-10-24,Wayne County (North Carolina),Wayne (County),16097,4206,22
Tennessee,Velika katastrofa,1997-04-02,Severe Storm,Severe Storms And Tornadoes,0,1,1,0,1997-03-28,1997-03-29,Bradley County (Tennessee),Bradley (County),97048,2511,10
Indiana,Velika katastrofa,2008-09-23,Severe Storm,Severe Storms And Flooding,0,0,1,1,2008-09-12,2008-10-06,Wayne County (Indiana),Wayne (County),8156,5578,6
New Jersey,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-07,1996-01-12,Monmouth County,Monmouth (County),96020,1364,2
Minnesota,Velika katastrofa,2019-06-12,Flood,"Severe Winter Storm, Straight-Line Winds, And Flooding",0,0,1,1,2019-03-12,2019-04-28,Redwood County,Redwood (County),19033,3929,18
North Dakota,Velika katastrofa,1999-06-08,Flood,"Severe Storms, Flooding, Snow, Ice, Ground Saturation, Lanslides, Mudslides, And Tor",0,1,1,1,1999-03-01,1999-07-19,North Dakota,Turtle Mountain Indian Reservation,99052,6766,2
Alaska,Velika katastrofa,1955-12-22,Other,Severe Hardship,0,1,1,1,1955-12-22,1955-12-22,Alaska,Statewide,55017,6158,12
Nebraska,Velika katastrofa,1993-07-19,Flood,Severe Storms And Flooding,0,1,1,0,1993-06-23,1993-08-05,Polk County (Nebraska),Polk (County),93033,8857,22
New Jersey,Upravljanje hitnim situacijama,2021-09-02,Hurricane,Remnants Of Hurricane Ida,0,0,1,0,2021-09-01,2021-09-03,Monmouth County,Monmouth (County),21094,7193,15
Nebraska,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuees,0,0,1,0,2005-08-29,2005-10-01,Thayer County,Thayer (County),5120,7568,15
Washington,Velika katastrofa,1997-01-17,Severe Storm,"Severe Winter Storms, Land & Muds Slides,Flooding",0,1,1,0,1996-12-26,1997-02-10,King County (Washington),King (County),97032,5174,16
Illinois,Velika katastrofa,1982-12-13,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1982-12-13,1982-12-13,Madison County (Illinois),Madison (County),83011,5429,22
Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Hill County (Texas),Hill (County),5090,7587,5
Tennessee,Velika katastrofa,2021-05-08,Tornado,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2021-03-25,2021-04-03,Cannon County,Cannon (County),21036,1215,6
Alabama,Velika katastrofa,2009-12-31,Severe Storm,Severe Storms And Flooding,0,0,1,1,2009-12-12,2009-12-18,Butler County (Alabama),Butler (County),9129,7870,4
Nebraska,Velika katastrofa,2018-06-29,Snowstorm,Severe Winter Storm And Straight-Line Winds,0,0,1,1,2018-04-13,2018-04-18,Custer County (Nebraska),Custer (County),18030,6057,9
Nebraska,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuees,0,0,1,0,2005-08-29,2005-10-01,Holt County (Nebraska),Holt (County),5120,4000,5
North Carolina,Upravljanje hitnim situacijama,2016-10-07,Hurricane,Hurricane Matthew,0,0,1,0,2016-10-04,2016-10-24,Beaufort County (North Carolina),Beaufort (County),16097,126,1
Texas,Upravljanje požarom,2008-02-25,Fire,South Odessa Fire,0,0,1,0,2008-02-25,2008-02-29,Ector County,Ector (County),8025,401,3
Mississippi,Velika katastrofa,1973-03-27,Severe Storm,"Heavy Rains, Tornadoes & Flooding",0,1,1,0,1973-03-27,1973-03-27,Leflore County,Leflore (County),73019,3627,7
Nebraska,Velika katastrofa,2018-06-29,Snowstorm,Severe Winter Storm And Straight-Line Winds,0,0,1,1,2018-04-13,2018-04-18,Garfield County (Nebraska),Garfield (County),18030,378,21
Puerto Rico,Upravljanje hitnim situacijama,2020-01-07,Earthquake,Earthquakes,0,0,1,0,2019-12-28,2020-02-04,Las Piedras Municipio,Las Piedras (Municipio),20001,7845,2
Alabama,Upravljanje hitnim situacijama,2020-09-14,Hurricane,Hurricane Sally,0,0,1,0,2020-09-14,2020-09-16,Limestone County (Alabama),Limestone (County),20291,3091,21
Iowa,Velika katastrofa,1969-08-14,Flood,Heavy Rains & Flooding,0,1,1,0,1969-08-14,1969-08-14,Polk County (Iowa),Polk (County),69032,4369,8
West Virginia,Velika katastrofa,1977-04-07,Flood,Severe Storms & Flooding,0,1,1,0,1977-04-07,1977-04-07,Wyoming County (West Virginia),Wyoming (County),77067,1339,22
New Mexico,Upravljanje hitnim situacijama,1977-03-02,Drought,Drought,0,0,1,0,1977-03-02,1977-03-02,Union County (New Mexico),Union (County),77048,5719,10
Virginia,Velika katastrofa,2016-03-07,Snowstorm,Severe Winter Storm And Snowstorm,0,0,1,1,2016-01-22,2016-01-23,Henrico County,Henrico (County),16024,9430,1
Mississippi,Upravljanje hitnim situacijama,2021-08-28,Hurricane,Hurricane Ida,0,0,1,0,2021-08-28,2021-09-01,Leflore County,Leflore (County),21090,8866,22
Oklahoma,Velika katastrofa,1973-06-13,Severe Storm,"Severe Storms, Flooding, & Tornadoes",0,1,1,0,1973-06-13,1973-06-13,Osage County (Oklahoma),Osage (County),73055,6497,14
Texas,Upravljanje hitnim situacijama,2005-09-21,Hurricane,Hurricane Rita,0,0,1,0,2005-09-20,2005-10-14,Upshur County (Texas),Upshur (County),5137,5628,7
Louisiana,Upravljanje hitnim situacijama,2011-05-06,Flood,Flooding,0,0,1,0,2011-04-25,2011-07-07,East Baton Rouge Parish,East Baton Rouge (Parish),11094,9575,2
Ohio,Velika katastrofa,1965-04-14,Tornado,Tornadoes & Severe Storms,0,1,1,0,1965-04-14,1965-04-14,Shelby County (Ohio),Shelby (County),65017,5427,14
North Carolina,Upravljanje hitnim situacijama,1999-09-15,Hurricane,Hurricane Floyd Emergency Declarations,0,0,1,0,1999-09-15,1999-10-04,Durham County,Durham (County),99088,4897,2
North Carolina,Upravljanje hitnim situacijama,2018-09-10,Hurricane,Hurricane Florence,0,0,1,0,2018-09-07,2018-09-29,Vance County,Vance (County),18099,8802,16
Georgia,Velika katastrofa,1995-10-10,Hurricane,Hurricane Opal,0,1,1,0,1995-10-04,1995-10-05,Whitfield County,Whitfield (County),96003,4449,15
Minnesota,Upravljanje hitnim situacijama,1976-06-17,Drought,Drought,0,0,1,0,1976-06-17,1976-06-17,Pine County,Pine (County),76051,5146,1
Pennsylvania,Velika katastrofa,2005-04-14,Severe Storm,Severe Storms And Flooding,0,0,1,1,2005-04-02,2005-04-23,Lackawanna County,Lackawanna (County),5030,7643,2
Arkansas,Velika katastrofa,2008-03-26,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2008-03-18,2008-04-28,Craighead County,Craighead (County),8047,8299,20
Kentucky,Upravljanje hitnim situacijama,2009-01-28,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2009-01-27,2009-02-05,McCracken County,McCracken (County),9010,5451,11
Texas,Velika katastrofa,1989-05-19,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1989-05-04,1989-06-07,Rusk County (Texas),Rusk (County),89012,9497,6
Kentucky,Velika katastrofa,1984-05-15,Severe Storm,"High Winds, Tornadoes & Flooding",0,1,1,0,1984-05-15,1984-05-15,Casey County,Casey (County),84033,6822,13
Ohio,Velika katastrofa,2019-04-08,Flood,"Severe Storms, Flooding, And Landslides",0,0,1,1,2019-02-05,2019-02-13,Adams County (Ohio),Adams (County),19015,3281,7
Alabama,Upravljanje hitnim situacijama,1993-03-15,Snowstorm,"Severe Snowfall, Winter Storm",0,0,1,0,1993-03-13,1993-03-17,Bullock County,Bullock (County),93009,3451,16
Michigan,Upravljanje hitnim situacijama,2005-09-07,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Kalamazoo County,Kalamazoo (County),5106,3952,20
Georgia,Velika katastrofa,2017-09-15,Hurricane,Hurricane Irma,0,0,1,1,2017-09-07,2017-09-20,Twiggs County,Twiggs (County),17110,3652,16
Puerto Rico,Velika katastrofa,2020-01-16,Earthquake,Earthquakes,1,0,0,1,2019-12-28,2020-07-03,Salinas Municipio,Salinas (Municipio),20002,87,9
Maine,Upravljanje hitnim situacijama,2004-01-15,Snowstorm,Snow,0,0,1,0,2003-12-06,2003-12-07,Washington County (Maine),Washington (County),3142,1847,3
Virginia,Upravljanje hitnim situacijama,2018-09-11,Hurricane,Hurricane Florence,0,0,1,0,2018-09-13,2018-09-21,King and Queen County,King and Queen (County),18100,5232,13
Florida,Velika katastrofa,1985-09-12,Hurricane,Hurricane Elena,0,1,1,0,1985-08-29,1985-09-02,Wakulla County,Wakulla (County),85053,96,3
Louisiana,Velika katastrofa,2020-10-16,Hurricane,Hurricane Delta,1,0,1,1,2020-10-06,2020-10-10,Allen Parish,Allen (Parish),20311,5461,7
Florida,Velika katastrofa,2004-09-16,Hurricane,Hurricane Ivan,1,1,1,1,2004-09-13,2004-11-17,Gulf County,Gulf (County),4112,9186,16
Kentucky,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Elliott County,Elliott (County),5099,8296,3
Oklahoma,Velika katastrofa,2001-06-29,Severe Storm,"Severe Storms, Flooding, And Tornadoes",0,0,1,1,2001-05-27,2001-05-30,Haskell County (Oklahoma),Haskell (County),1071,5640,6
New York,Upravljanje hitnim situacijama,2003-08-23,Other,Power Outage,0,0,1,0,2003-08-14,2003-08-16,Madison County (New York),Madison (County),3093,6536,17
Pennsylvania,Upravljanje hitnim situacijama,1993-03-16,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Lycoming County,Lycoming (County),93018,8776,4
Oregon,Velika katastrofa,1996-02-09,Flood,"High Winds, Severe  Storms And Flooding",0,1,1,0,1996-02-04,1996-02-21,Coos County (Oregon),Coos (County),96035,1628,11
Massachusetts,Velika katastrofa,2001-04-10,Severe Storm,Severe Storms And Flooding,0,1,0,0,2001-03-05,2001-04-16,Middlesex County (Massachusetts),"Middlesex (County)(in (P)MSA 1120,2600,4560)",1032,6027,8
Virginia,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-06,1996-01-12,Petersburg city,Petersburg,96018,8646,3
Georgia,Upravljanje hitnim situacijama,2017-09-08,Hurricane,Hurricane Irma,0,0,1,0,2017-09-07,2017-09-20,Effingham County (Georgia),Effingham (County),17100,4379,10
Alabama,Velika katastrofa,2003-05-12,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,0,1,2003-05-05,2003-05-30,Cherokee County (Alabama),Cherokee (County),3041,650,23
Indiana,Upravljanje hitnim situacijama,1977-02-02,Snowstorm,Snowstorms,0,0,1,0,1977-02-02,1977-02-02,Newton County (Indiana),Newton (County),77037,4006,1
South Dakota,Upravljanje požarom,2006-07-27,Fire,East Ridge Fire,0,0,1,0,2006-07-27,2006-08-07,Meade County (South Dakota),Meade (County),6132,6560,23
Wisconsin,Velika katastrofa,1996-08-02,Flood,"Severe Storms, Flooding And Tornadoes",0,0,1,0,1996-07-17,1996-07-22,Fond du Lac County,Fond du Lac (County),96163,1998,13
Iowa,Velika katastrofa,2010-03-02,Severe Storm,Severe Winter Storm,0,0,1,1,2010-01-19,2010-01-26,Palo Alto County,Palo Alto (County),10014,631,13
Arkansas,Velika katastrofa,1990-05-15,Flood,Severe Storms & Flooding,0,1,1,0,1990-05-01,1990-06-03,Columbia County (Arkansas),Columbia (County),90017,1897,19
Oklahoma,Velika katastrofa,2003-02-04,Severe Ice Storm,Severe Ice Storm,0,0,1,1,2002-12-03,2002-12-04,Osage County (Oklahoma),Osage (County),3005,1254,17
Nebraska,Velika katastrofa,1967-07-18,Flood,Severe Storms & Flooding,0,1,1,0,1967-07-18,1967-07-18,Seward County (Nebraska),Seward (County),67022,5374,20
South Dakota,Velika katastrofa,2011-05-13,Flood,Flooding,0,0,1,1,2011-03-11,2011-07-22,Faulk County,Faulk (County),11105,294,19
