state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
Indiana,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Orange County (Indiana),Orange (County),5113,2487,15
Texas,Velika katastrofa,1989-05-19,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1989-05-04,1989-06-07,Harrison County (Texas),Harrison (County),89012,5533,18
Georgia,Velika katastrofa,1994-03-31,Tornado,"Tornadoes, Flooding, And Severe Storms",0,1,1,0,1994-03-27,1994-04-10,Murray County (Georgia),Murray (County),94018,5518,21
Indiana,Velika katastrofa,1961-05-20,Flood,Floods,0,1,1,1,1961-05-20,1961-05-20,Indiana,Statewide,61016,1191,23
Pennsylvania,Upravljanje hitnim situacijama,1993-03-16,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Venango County,Venango (County),93018,800,5
Mississippi,Upravljanje hitnim situacijama,2021-08-28,Hurricane,Hurricane Ida,0,0,1,0,2021-08-28,2021-09-01,Lincoln County (Mississippi),Lincoln (County),21090,3532,12
Texas,Velika katastrofa,2021-02-19,Severe Ice Storm,Severe Winter Storms,0,0,1,1,2021-02-11,2021-02-21,Ward County (Texas),Ward (County),21013,3985,6
New York,Velika katastrofa,1972-06-23,Flood,Tropical Storm Agnes,0,1,1,0,1972-06-23,1972-06-23,Madison County (New York),Madison (County),72034,6300,18
Missouri,Velika katastrofa,1993-05-11,Flood,Severe Storms & Flooding,0,1,0,0,1993-04-15,1993-05-29,Lincoln County (Missouri),Lincoln (County),93048,856,12
Iowa,Velika katastrofa,1969-08-14,Flood,Heavy Rains & Flooding,0,1,1,0,1969-08-14,1969-08-14,Lyon County (Iowa),Lyon (County),69032,2824,23
Minnesota,Velika katastrofa,2002-06-14,Severe Storm,"Severe Storms, Flooding And Tornadoes",0,1,1,1,2002-06-09,2002-06-28,Mahnomen County,Mahnomen (County),2069,8555,19
